,fips,county,state,vaccinated
754,30003,Big Horn County,MT,72.2
755,24041,Talbot County,MD,67.5
756,54107,Wood County,WV,39.6
757,31171,Thomas County,NE,23.0
758,41019,Douglas County,OR,49.1
759,29177,Ray County,MO,35.8
760,47163,Sullivan County,TN,50.5
761,22021,Caldwell Parish,LA,34.6
762,21221,Trigg County,KY,42.7
763,38041,Hettinger County,ND,34.9
764,05053,Grant County,AR,41.0
765,27095,Mille Lacs County,MN,50.6
766,51750,Radford city,VA,34.4
767,20141,Osborne County,KS,38.5
768,30029,Flathead County,MT,37.6
769,19025,Calhoun County,IA,54.4
770,39059,Guernsey County,OH,40.2
771,32013,Humboldt County,NV,37.0
772,36081,Queens County,NY,73.6
773,26095,Luce County,MI,41.1
774,54091,Taylor County,WV,4.5
775,18145,Shelby County,IN,52.5
